,label,accuracy,precision,recall,f1_score
0,positive,0.4684265010351967,0.503921568627451,0.3835820895522388,0.43559322033898307
1,negative,0.4684265010351967,0.17987152034261242,0.49411764705882355,0.26373626373626374
2,neutral,0.4684265010351967,0.5905759162303665,0.5164835164835165,0.5510503175378603
