,label,accuracy,precision,recall,f1_score
0,neutral,0.5072463768115942,0.5850340136054422,0.63003663003663,0.6067019400352733
1,positive,0.5072463768115942,0.44623655913978494,0.3716417910447761,0.40553745928338764
2,negative,0.5072463768115942,0.21717171717171718,0.2529411764705882,0.23369565217391305
