,label,accuracy,precision,recall,f1_score
0,positive,0.4611801242236025,0.4990791896869245,0.4044776119402985,0.4468260511129431
1,negative,0.4611801242236025,0.176,0.5176470588235295,0.2626865671641791
2,neutral,0.4611801242236025,0.5984251968503937,0.48717948717948717,0.5371024734982333
