,label,accuracy,precision,recall,f1_score
0,neutral,0.5144927536231884,0.5789473684210527,0.7051282051282052,0.6358381502890174
1,positive,0.5144927536231884,0.4318181818181818,0.2835820895522388,0.34234234234234234
2,negative,0.5144927536231884,0.20987654320987653,0.2,0.20481927710843373
